,batch_accuracy,batch_loss,epoch_accuracy,epoch_loss,learning_rate,run,units_0,units_1,units_2,units_3,units_4,units_5,units_6,units_7,units_8,units_9
17,0.773067057132721,0.6900372505187988,0.773067057132721,0.6900372505187988,0.0015,20201226_213548,256.0,512.0,576.0,768.0,576.0,,,,,
18,0.7724699378013611,0.6938976049423218,0.7724699378013611,0.6938976049423218,0.0015,20201226_213548,256.0,512.0,576.0,768.0,448.0,,,,,
19,0.7719144225120544,0.6952120065689087,0.7719144225120544,0.6952120065689087,0.0015,20201227_133351,256.0,512.0,640.0,768.0,512.0,,,,,
20,0.7695904374122621,0.7024801969528198,0.7695904374122621,0.7024801969528198,0.0015,20201226_213548,256.0,512.0,512.0,768.0,448.0,,,,,
21,0.7688573598861694,0.7057034373283386,0.7688573598861694,0.7057034373283386,0.0015,20201226_213548,256.0,512.0,576.0,768.0,512.0,,,,,
22,0.7680892944335938,0.7074042558670044,0.7680892944335938,0.7074042558670044,0.0015,20201227_133351,256.0,512.0,384.0,768.0,512.0,,,,,
23,0.7676823139190674,0.7069830894470215,0.7676823139190674,0.7069830894470215,0.0015,20201227_133351,256.0,512.0,448.0,768.0,512.0,,,,,
24,0.7676734328269958,0.7146989703178406,0.7676734328269958,0.7146989703178406,0.001,20201226_213548,256.0,512.0,576.0,768.0,448.0,,,,,
25,0.7667950987815857,0.7140526771545409,0.7667950987815857,0.7140526771545409,0.0009,20201226_105326,256.0,512.0,512.0,768.0,512.0,,,,,
26,0.7666081786155701,0.7175314426422119,0.7666081786155701,0.7175314426422119,0.001,20201226_213548,256.0,512.0,448.0,768.0,576.0,,,,,
27,0.7665820121765137,0.7188399434089661,0.7665820121765137,0.7188399434089661,0.001,20201226_213548,256.0,512.0,576.0,768.0,448.0,,,,,
28,0.7664974331855774,0.7164434194564819,0.7664974331855774,0.7164434194564819,0.001,20201226_213548,256.0,512.0,512.0,768.0,512.0,,,,,
29,0.7655616402626038,0.7160068154335022,0.7655616402626038,0.7160068154335022,0.0009,20201226_105326,256.0,512.0,256.0,768.0,768.0,512.0,256.0,256.0,,
30,0.7640576362609863,0.7275722026824951,0.7640576362609863,0.7275722026824951,0.0009,20201226_213548,256.0,512.0,448.0,768.0,576.0,,,,,
31,0.7637268304824829,0.7298386693000793,0.7637268304824829,0.7298386693000793,0.0009,20201226_213548,256.0,512.0,512.0,768.0,448.0,,,,,
32,0.7636927366256714,0.7293878793716431,0.7636927366256714,0.7293878793716431,0.0009,20201226_213548,256.0,512.0,512.0,768.0,448.0,,,,,
33,0.7628709077835083,0.7253084182739258,0.7628709077835083,0.7253084182739258,0.0009,20201226_105326,512.0,512.0,512.0,512.0,512.0,512.0,256.0,256.0,256.0,768.0
34,0.7618677616119385,0.7313213944435121,0.7618677616119385,0.7313213944435121,0.0009,20201226_213548,256.0,512.0,576.0,768.0,512.0,,,,,
35,0.7607903480529785,0.736965000629425,0.7607903480529785,0.736965000629425,0.0009,20201226_213548,256.0,512.0,,768.0,,,,,,
36,0.7594980001449585,0.7366042137145996,0.7594980001449585,0.7366042137145996,0.001,20201226_213548,256.0,512.0,512.0,768.0,576.0,,,,,
37,0.7581374645233154,0.7458468675613403,0.7581374645233154,0.7458468675613403,0.0009,20201226_213548,256.0,512.0,448.0,768.0,448.0,,,,,
38,0.7509044408798218,0.7704001069068909,0.7509044408798218,0.7704001069068909,0.0005,20201226_105326,512.0,512.0,768.0,512.0,512.0,256.0,256.0,512.0,,
39,0.7481090426445007,0.7782484889030457,0.7481090426445007,0.7782484889030457,0.0005,20201224_200911,512.0,1024.0,512.0,1792.0,512.0,1024.0,512.0,,,
40,0.7462901473045349,0.7823259234428406,0.7462901473045349,0.7823259234428406,0.003,20201227_133351,256.0,512.0,448.0,768.0,512.0,,,,,
